Run	Start Period	Stop Period	Seed	Biased Region X	Biased Region Y	District Height	District Width	Home Count	Initial Interest Minimum	Initial Interest Maximum	Learner Count	Learning Resource Count	Lot Count	Next Home ID	Next Learner ID	Next Resource ID	Pause Period	Random Seed	Regular YCount	Resource Efficacy Minimum	Resource Efficacy Maximum	Start Period	Stop Period	Subsequent Engagement Factor	Thread Count	Time Segments Wandering	Time Segmentsin Day	Count Homes Population	Count Learners Population	Count Learner Learning Interest	Minimum Learner Learning Interest	Maximum Learner Learning Interest	Sum Learner Learning Interest	Average Learner Learning Interest	Count Learner Resource Engagements	Minimum Learner Resource Engagements	Maximum Learner Resource Engagements	Sum Learner Resource Engagements	Average Learner Resource Engagements	Count Learner Not Interested Behavior	Count Learner Seeking Resource Behavior	Count Learner Found Resource Behavior	Count Learner At Home Behavior	Count Learning Resources Population	Count Resource Interactions Population
13	0	5000	1325550473420	0.1000	1.0000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	1950.0000	100.0000	10.0000	2.1475E9	1.3256E12	2.0000	0.0200	0.0900	0.0000	5000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.05273719784333833	1.0	44.24591322677284	0.4424591322677284	100.0	0.0	51.0	811.0	8.11	74.0	3.0	23.0	0.0	10.0	649.0
14	0	5000	1325550474798	0.1000	1.0000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	2100.0000	100.0000	10.0000	2.1475E9	1.3256E12	2.0000	0.0200	0.0900	0.0000	5000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.05868069918070954	1.0	45.6409923264263	0.456409923264263	100.0	0.0	50.0	831.0	8.31	72.0	9.0	19.0	0.0	10.0	701.0
15	0	5000	1325550476237	0.1000	1.0000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	2250.0000	100.0000	10.0000	2.1475E9	1.3256E12	2.0000	0.0200	0.0900	0.0000	5000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.05264020924062188	1.0	47.359537869742354	0.4735953786974235	100.0	0.0	50.0	994.0	9.94	71.0	6.0	23.0	0.0	10.0	754.0
16	0	5000	1325550477735	0.1000	1.0000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	2400.0000	100.0000	10.0000	2.1475E9	1.3256E12	2.0000	0.0200	0.0900	0.0000	5000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.051514534476786826	1.0	45.98978725631326	0.4598978725631326	100.0	0.0	48.0	897.0	8.97	66.0	12.0	22.0	0.0	10.0	802.0
17	0	5000	1325550479259	0.1000	1.0000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	2550.0000	100.0000	10.0000	2.1475E9	1.3256E12	2.0000	0.0200	0.0900	0.0000	5000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.0533028224709055	1.0	40.98911723173336	0.4098911723173336	100.0	0.0	53.0	897.0	8.97	72.0	4.0	24.0	0.0	10.0	853.0
18	0	5000	1325550480838	0.1000	1.0000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	2700.0000	100.0000	10.0000	2.1475E9	1.3256E12	2.0000	0.0200	0.0900	0.0000	5000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.05038704054725456	1.0	47.9198226122431	0.479198226122431	100.0	0.0	49.0	867.0	8.67	70.0	7.0	23.0	0.0	10.0	906.0
19	0	5000	1325550482467	0.1000	1.0000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	2850.0000	100.0000	10.0000	2.1475E9	1.3256E12	2.0000	0.0200	0.0900	0.0000	5000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.07387229695801956	1.0	44.7163150593557	0.447163150593557	100.0	0.0	48.0	865.0	8.65	72.0	12.0	16.0	0.0	10.0	960.0
20	0	5000	1325550484159	0.1000	1.0000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	3000.0000	100.0000	10.0000	2.1475E9	1.3256E12	2.0000	0.0200	0.0900	0.0000	5000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.05594785680305773	1.0	40.118834521319855	0.40118834521319857	100.0	0.0	50.0	690.0	6.9	78.0	5.0	17.0	0.0	10.0	1004.0
21	0	5000	1325550485937	0.1000	1.0000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	3150.0000	100.0000	10.0000	2.1475E9	1.3256E12	2.0000	0.0200	0.0900	0.0000	5000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.06054237808622492	1.0	52.9656328168244	0.529656328168244	100.0	0.0	49.0	1027.0	10.27	65.0	10.0	25.0	0.0	10.0	1069.0
22	0	5000	1325550487763	0.3000	1.0000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	3300.0000	100.0000	10.0000	2.1475E9	1.3256E12	2.0000	0.0200	0.0900	0.0000	5000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.05082082572846541	1.0	44.76283629231643	0.44762836292316427	100.0	0.0	50.0	767.0	7.67	75.0	7.0	18.0	0.0	10.0	1120.0
23	0	5000	1325550489596	0.3000	1.0000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	3450.0000	100.0000	10.0000	2.1475E9	1.3256E12	2.0000	0.0200	0.0900	0.0000	5000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.05533708110946004	1.0	44.135851418382664	0.44135851418382666	100.0	0.0	48.0	791.0	7.91	74.0	3.0	23.0	0.0	10.0	1173.0
24	0	5000	1325550491504	0.3000	1.0000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	3600.0000	100.0000	10.0000	2.1475E9	1.3256E12	2.0000	0.0200	0.0900	0.0000	5000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.05101009665260438	1.0	45.05235111655309	0.4505235111655309	100.0	0.0	50.0	751.0	7.51	74.0	5.0	21.0	0.0	10.0	1224.0
25	0	5000	1325550493496	0.3000	1.0000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	3750.0000	100.0000	10.0000	2.1475E9	1.3256E12	2.0000	0.0200	0.0900	0.0000	5000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.050602638272902484	1.0	39.722293435105115	0.39722293435105116	100.0	0.0	53.0	625.0	6.25	74.0	10.0	16.0	0.0	10.0	1274.0
26	0	5000	1325550495495	0.3000	1.0000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	3900.0000	100.0000	10.0000	2.1475E9	1.3256E12	2.0000	0.0200	0.0900	0.0000	5000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.06454782811735812	1.0	42.882989508529555	0.42882989508529556	100.0	0.0	49.0	609.0	6.09	77.0	10.0	13.0	0.0	10.0	1335.0
