Run	Start Period	Stop Period	Seed	Biased Region X	Biased Region Y	District Height	District Width	Home Count	Initial Interest Minimum	Initial Interest Maximum	Learner Count	Learning Resource Count	Lot Count	Next Home ID	Next Learner ID	Next Resource ID	Pause Period	Random Seed	Regular YCount	Resource Efficacy Minimum	Resource Efficacy Maximum	Start Period	Stop Period	Subsequent Engagement Factor	Thread Count	Time Segments Wandering	Time Segmentsin Day	Count Homes Population	Count Learners Population	Count Learner Learning Interest	Minimum Learner Learning Interest	Maximum Learner Learning Interest	Sum Learner Learning Interest	Average Learner Learning Interest	Count Learner Resource Engagements	Minimum Learner Resource Engagements	Maximum Learner Resource Engagements	Sum Learner Resource Engagements	Average Learner Resource Engagements	Count Learner Not Interested Behavior	Count Learner Seeking Resource Behavior	Count Learner Found Resource Behavior	Count Learner At Home Behavior	Count Learning Resources Population	Count Resource Interactions Population
13	0	3000	1325544789646	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	1950.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0000	0.0600	0.0000	3000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.050556755148196686	1.0	30.69965246312722	0.3069965246312722	100.0	0.0	31.0	346.0	3.46	84.0	0.0	16.0	0.0	10.0	534.0
14	0	3000	1325544790792	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	2100.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0000	0.0600	0.0000	3000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.0590460784954734	1.0	27.634935992871117	0.2763493599287112	100.0	0.0	30.0	306.0	3.06	84.0	0.0	16.0	0.0	10.0	581.0
15	0	3000	1325544791974	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	2250.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0000	0.0600	0.0000	3000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.056594511845808305	1.0	31.562198195565003	0.31562198195565005	100.0	0.0	30.0	407.0	4.07	80.0	0.0	20.0	0.0	10.0	630.0
16	0	3000	1325544793203	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	2400.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0100	0.0700	0.0000	3000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.0533389615713134	1.0	36.86690565554621	0.3686690565554621	100.0	0.0	30.0	482.0	4.82	73.0	0.0	27.0	0.0	10.0	681.0
17	0	3000	1325544794502	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	2550.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0100	0.0700	0.0000	3000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.05909137967251184	1.0	34.12695641357531	0.34126956413575305	100.0	0.0	32.0	390.0	3.9	83.0	0.0	17.0	0.0	10.0	722.0
18	0	3000	1325544795853	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	2700.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0100	0.0700	0.0000	3000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.05236064843384383	0.8431886771658224	25.05639159627512	0.2505639159627512	100.0	0.0	30.0	206.0	2.06	88.0	0.0	12.0	0.0	10.0	759.0
19	0	3000	1325544797260	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	2850.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0100	0.0700	0.0000	3000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.052623342704388065	1.0	30.932900180916253	0.3093290018091625	100.0	0.0	25.0	260.0	2.6	87.0	0.0	13.0	0.0	10.0	798.0
20	0	3000	1325544798696	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	3000.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0100	0.0700	0.0000	3000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.050058033554939346	1.0	30.263405170617396	0.30263405170617397	100.0	0.0	28.0	366.0	3.66	80.0	0.0	20.0	0.0	10.0	843.0
21	0	3000	1325544800179	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	3150.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0100	0.0700	0.0000	3000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.05259622382735797	1.0	32.27778533609368	0.3227778533609368	100.0	0.0	28.0	356.0	3.56	82.0	0.0	18.0	0.0	10.0	890.0
22	0	3000	1325544801710	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	3300.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0100	0.0700	0.0000	3000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.05081916525837196	1.0	32.717584848820245	0.32717584848820247	100.0	0.0	29.0	347.0	3.47	82.0	0.0	18.0	0.0	10.0	925.0
