Run	Start Period	Stop Period	Seed	Biased Region X	Biased Region Y	District Height	District Width	Home Count	Initial Interest Minimum	Initial Interest Maximum	Learner Count	Learning Resource Count	Lot Count	Next Home ID	Next Learner ID	Next Resource ID	Pause Period	Random Seed	Regular YCount	Resource Efficacy Minimum	Resource Efficacy Maximum	Start Period	Stop Period	Subsequent Engagement Factor	Thread Count	Time Segments Wandering	Time Segmentsin Day	Count Homes Population	Count Learners Population	Count Learner Learning Interest	Minimum Learner Learning Interest	Maximum Learner Learning Interest	Sum Learner Learning Interest	Average Learner Learning Interest	Count Learner Resource Engagements	Minimum Learner Resource Engagements	Maximum Learner Resource Engagements	Sum Learner Resource Engagements	Average Learner Resource Engagements	Count Learner Not Interested Behavior	Count Learner Seeking Resource Behavior	Count Learner Found Resource Behavior	Count Learner At Home Behavior	Count Learning Resources Population	Count Resource Interactions Population
13	0	5000	1325549701376	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	1950.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0200	0.0900	0.0000	5000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.050368247249410025	1.0	44.614616306292476	0.44614616306292476	100.0	0.0	51.0	768.0	7.68	74.0	11.0	15.0	0.0	10.0	700.0
14	0	5000	1325549706075	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	2100.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0200	0.0900	0.0000	5000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.08095613821126849	1.0	47.017182480384214	0.4701718248038421	100.0	0.0	51.0	989.0	9.89	68.0	10.0	22.0	0.0	10.0	754.0
15	0	5000	1325549711193	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	2250.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0200	0.0900	0.0000	5000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.05774456622599403	1.0	45.43029662878624	0.4543029662878624	100.0	0.0	52.0	836.0	8.36	76.0	8.0	16.0	0.0	10.0	811.0
16	0	5000	1325549716639	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	2400.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0200	0.0900	0.0000	5000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.05540756441882826	1.0	40.676383199954	0.40676383199954	100.0	0.0	50.0	819.0	8.19	76.0	9.0	15.0	0.0	10.0	853.0
17	0	5000	1325549722509	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	2550.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0200	0.0900	0.0000	5000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.05030618005841312	1.0	42.73650297093051	0.42736502970930507	100.0	0.0	40.0	578.0	5.78	73.0	12.0	15.0	0.0	10.0	904.0
18	0	5000	1325549731253	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	2700.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0200	0.0900	0.0000	5000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.050846537111970784	1.0	44.471088116911346	0.44471088116911345	100.0	0.0	47.0	877.0	8.77	69.0	8.0	23.0	0.0	10.0	951.0
19	0	5000	1325549737749	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	2850.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0200	0.0900	0.0000	5000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.05395404412657609	1.0	41.860818197423974	0.41860818197423977	100.0	0.0	52.0	842.0	8.42	74.0	9.0	17.0	0.0	10.0	1002.0
20	0	5000	1325549744825	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	3000.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0200	0.0900	0.0000	5000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.07061754022599034	1.0	48.58079981116751	0.4858079981116751	100.0	0.0	49.0	852.0	8.52	72.0	7.0	21.0	0.0	10.0	1060.0
21	0	5000	1325549752382	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	3150.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0200	0.0900	0.0000	5000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.055120991229855434	1.0	50.38578959770753	0.5038578959770753	100.0	0.0	48.0	940.0	9.4	70.0	9.0	21.0	0.0	10.0	1122.0
22	0	5000	1325549760121	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	3300.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0200	0.0900	0.0000	5000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.058537241211698156	1.0	50.98349331702381	0.5098349331702381	100.0	0.0	52.0	912.0	9.12	67.0	11.0	22.0	0.0	10.0	1176.0
23	0	5000	1325549768439	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	3450.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0200	0.0900	0.0000	5000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.05053991521626228	1.0	42.121109426914984	0.4212110942691498	100.0	0.0	47.0	775.0	7.75	72.0	9.0	19.0	0.0	10.0	1226.0
24	0	5000	1325549777396	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	3600.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0200	0.0900	0.0000	5000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.055644623251081354	1.0	44.69971264103836	0.4469971264103836	100.0	0.0	51.0	719.0	7.19	77.0	7.0	16.0	0.0	10.0	1280.0
25	0	5000	1325549786726	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	3750.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0200	0.0900	0.0000	5000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.05852091393262694	1.0	43.11003636681757	0.43110036366817567	100.0	0.0	45.0	775.0	7.75	74.0	7.0	19.0	0.0	10.0	1323.0
26	0	5000	1325549796438	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	3900.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0200	0.0900	0.0000	5000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.052060765550181756	1.0	43.05874483557169	0.4305874483557169	100.0	0.0	49.0	722.0	7.22	78.0	7.0	15.0	0.0	10.0	1377.0
27	0	5000	1325549806282	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	4050.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0200	0.0900	0.0000	5000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.051135969030068396	1.0	38.87181389500416	0.3887181389500416	100.0	0.0	50.0	665.0	6.65	79.0	6.0	15.0	0.0	10.0	1433.0
28	0	5000	1325549816741	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	4200.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0200	0.0900	0.0000	5000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.05802091570887118	1.0	48.134208891491326	0.48134208891491326	100.0	0.0	45.0	816.0	8.16	67.0	12.0	21.0	0.0	10.0	1485.0
29	0	5000	1325549827520	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	4350.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0200	0.0900	0.0000	5000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.05178338739965352	1.0	45.07741436637298	0.45077414366372975	100.0	0.0	50.0	892.0	8.92	72.0	6.0	22.0	0.0	10.0	1538.0
30	0	5000	1325549850534	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	4500.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0200	0.0900	0.0000	5000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.05651187429882126	1.0	46.971266373828584	0.46971266373828585	100.0	0.0	48.0	820.0	8.2	70.0	8.0	22.0	0.0	10.0	1588.0
31	0	5000	1325549865081	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	4650.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0200	0.0900	0.0000	5000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.0651243692469682	1.0	39.5525113562817	0.395525113562817	100.0	0.0	48.0	646.0	6.46	79.0	7.0	14.0	0.0	10.0	1631.0
32	0	5000	1325549878594	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	4800.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0200	0.0900	0.0000	5000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.053082333349076284	1.0	40.08111958074479	0.4008111958074479	100.0	0.0	51.0	580.0	5.8	78.0	9.0	13.0	0.0	10.0	1680.0
33	0	5000	1325549890916	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	4950.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0200	0.0900	0.0000	5000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.05619298904913729	1.0	41.54886472534154	0.4154886472534154	100.0	0.0	44.0	638.0	6.38	79.0	8.0	13.0	0.0	10.0	1729.0
34	0	5000	1325549892001	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	5100.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0200	0.0900	0.0000	5000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.05953507087903696	1.0	39.028772068417815	0.39028772068417816	100.0	0.0	49.0	505.0	5.05	80.0	7.0	13.0	0.0	10.0	1774.0
35	0	5000	1325549900142	0.5000	0.5000	80.0000	150.0000	150.0000	0.0500	0.3500	100.0000	10.0000	0.0000	5250.0000	100.0000	10.0000	2.1475E9	1.3255E12	2.0000	0.0200	0.0900	0.0000	5000.0000	0.0500	1.0000	24.0000	96.0000	150.0	100.0	100.0	0.05328074367776561	1.0	41.590701334049065	0.41590701334049063	100.0	0.0	43.0	515.0	5.15	81.0	8.0	11.0	0.0	10.0	1822.0
